[Countries]
Spain|LE|Control
Sri Lanka|VC|Radar
Sudan|HS|
South Sudan|HJ|Control
Surinam|SM|
Sweden|ES|Control
Switzerland|LS|Radar
Syria|OS|Radar
Taiwan|RC|Control
Tajikistan-Turkmenistan-Uzbekistan|UT|
Tanzania|HT|
Thailand|VT|
Togo|DX|
Trinidad and Tobago|TT|Radar
Tunisia|DT|
Turkiye|LT|Control
Turks and Caicos Islands|MB|
Uganda|HU|
Ukraine|UK|Radar
United Arab Emirates|OM|Radar
United Kingdom|EG|Control
Uruguay|SU|
USA|KA|
USA|KB|
USA|KC|
USA|KD|
USA|KE|
USA|KF|
USA|KG|
USA|KH|
USA|KI|
USA|KJ|
USA|KK|
USA|KL|
USA|KM|
USA|KN|
USA|KO|
USA|KP|
USA|KQ|
USA|KR|
USA|KS|
USA|KT|
USA|KU|
USA|KV|
USA|KW|
USA|KX|
USA|KY|
USA|KZ|
USA|PA|
USA|PC|
USA|PF|
USA|PG|
USA|PH|
USA|PJ|
USA|PL|
USA|PM|
USA|PO|
USA|PP|
USA|PT|
USA|PW|
Vanuatu|NV|
Venezuela|SV|
Vietnam|VV|Control
Virgin Islands (British)|TU|
Virgin Islands (US)|TI|
Wallis and Futuna|NL|
Yemen|OY|Radio
Serbia-Montenegro|LY|Radar
Zambia|FL|
Zimbabwe|FV|

[Airports]
;ICAO|Airport Name|Latitude Decimal|Longitude Decimal|IATA/LID|FIR|IsPseudo
AGAF|Afutara|-9.191365|160.948836||AGGG|0
AGAR|Ulawa|-9.864444|161.98306||AGGG|0
AGAT|Atoifi|-8.873167|161.013||AGGG|0
AGBA|Barakoma|-7.9105|156.703833||AGGG|0
AGBT|Batuna|-8.562083|158.119089||AGGG|0
AGEV|Geva|-7.578333|156.59778||AGGG|0
AGGA|Auki|-8.702569|160.681739||AGGG|0
AGGB|Bellona|-11.303167|159.800333||AGGG|0
AGGC|Choiseul|-6.714167|156.3975||AGGG|0
AGGE|Ballalae|-6.995167|155.880167||AGGG|0
AGGF|Fera|-8.110333|159.576833||AGGG|0
AGGH|Henderson|-9.430858|160.053067||AGGG|0
AGGI|Babanakira|-9.750667|159.839833||AGGG|0
AGGJ|Avu Avu|-9.869833|160.411333||AGGG|0
AGGK|Kirakira|-10.451333|161.903333||AGGG|0
AGGL|Santa Cruz|-10.69972|165.8||AGGG|0
AGGM|Munda|-8.33306|157.26639||AGGG|0
AGGN|Gizo|-8.102333|156.8665||AGGG|0
AGGO|Mono|-7.418167|155.564||AGGG|0
AGGP|Parasi|-9.642833|161.427333||AGGG|0
AGGQ|Ontong Java|-5.5145|159.53||AGGG|0
AGGR|Rennell|-11.552167|160.0655||AGGG|0
AGGS|Seghe|-8.5795|157.879333||AGGG|0
AGGT|Santa Anna|-10.85|162.457333||AGGG|0
AGGU|Marau|-9.863313|160.825808||AGGG|0
AGGV|Suavanao|-7.587333|158.729||AGGG|0
AGGY|Yandin|-9.099167|159.226||AGGG|0
AGJO|Jajao|-8.213333|159.266667||AGGG|0
AGKG|Kaghau|-7.334333|157.588333||AGGG|0
AGKU|Kukudu|-8.02|156.946667||AGGG|0
AGKW|Kwailabesi|-8.321333|160.795833||AGGG|0
AGLM|Lomlom|-10.296833|166.327367||AGGG|0
AGNA|Nana|-10.655|162.206667||AGGG|0
AGOB|Manaoba|-8.321333|160.795833||AGGG|0
AGOK|Gatokae|-8.731667|158.201667||AGGG|0
AGRC|Ringi Cove|-8.2|157.033333||AGGG|0
AGRM|Ramata|-8.168333|157.642667||AGGG|0
AGVH|Viru Harbour|-8.501667|157.69||AGGG|0
ANYN|Nauru|-0.55|166.915278||ANAU|0
AYAY|Aiyura|-6.316667|145.9||AYPM|0
AYBK|Buka|-5.422317|154.672667||AYPM|0
AYBM|Balimo|-8.05215|142.940583||AYPM|0
AYBU|Bulolo|-7.221183|146.65125||AYPM|0
AYCH|Chimbu|-6.024292|144.970528||AYPM|0
AYDU|Daru|-9.086756|143.207939||AYPM|0
AYFF|Faia|-7.158833|143.529||AYPM|0
AYGA|Goroka|-6.081689|145.391881||AYPM|0
AYGB|Gobe|-6.76965|143.721867||AYPM|0
